D√≠a,Descripci√≥n,Nombre de la discoteca,Aforo
05/03/23,Fiesta de Carnaval con concurso de disfraces y premios en efectivo para los ganadores,Back,400
21/04/23,Noche de musica en vivo con banda local y barra libre toda la noche,Stage,400
01/05/23,Noche de musica electronica con DJ invitado,Back,400
14/06/23,Fiesta tematica de los anyos 80,Stage,400
04/07/23,Fiesta del Di≠a de la Independencia con DJ y barra libre,Back,400
20/08/23,Noche latina con musica en vivo y baile,Stage,400
15/09/23,Fiesta del Di≠a del Grito con mariachis y tequila gratis toda la noche,Back,400
12/10/23,Fiesta del Dia del Pilar con musica espanyola en vivo y tapas gratis toda la noche,Back,400
31/10/23,Fiesta de Halloween con concurso de disfraces y premios en efectivo para los ganadores,Back,400
24/12/23,Nochebuena con cena navidenya y musica en vivo,Back,400
31/12/23,Fiesta de Fin de Anyo con DJ y barra libre toda la noche,Stage,400
